municipio;codEstacao;uf;nomeEstacao;latitude;longitude;offset;datahora;sensor;valorMedida
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 00:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 00:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 01:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 01:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 02:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 02:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 03:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 03:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 04:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 04:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 05:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 05:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 06:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 06:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 07:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 07:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 08:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 08:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 09:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 09:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 10:00:00.0;nível;8,18
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 10:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 11:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 11:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 12:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 12:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 13:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 13:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 14:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 14:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-01 15:00:00.0;nível;8,19
